Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
1102.00;      35.5147;       8.2759
1104.00;      35.5147;       8.2762
1106.00;      35.5146;       8.2754
1108.00;      35.5145;       8.2739
1110.00;      35.5132;       8.2654
1112.00;      35.5136;       8.2294
1114.00;      35.5181;       8.2317
1116.00;      35.5232;       8.2386
1118.00;      35.5222;       8.2179
1120.00;      35.5225;       8.1907
1122.00;      35.5219;       8.1650
1124.00;      35.5168;       8.1126
1126.00;      35.5216;       8.1125
1128.00;      35.5238;       8.1107
1130.00;      35.5248;       8.1108
1132.00;      35.5247;       8.1050
1134.00;      35.5249;       8.1013
1136.00;      35.5245;       8.0954
1138.00;      35.5245;       8.0927
1140.00;      35.5242;       8.0898
1142.00;      35.5241;       8.0875
1144.00;      35.5240;       8.0870
1146.00;      35.5242;       8.0878
1148.00;      35.5238;       8.0826
1150.00;      35.5232;       8.0783
1152.00;      35.5220;       8.0572
1154.00;      35.5224;       8.0481
1156.00;      35.5224;       8.0420
1158.00;      35.5219;       8.0330
1160.00;      35.5208;       8.0149
1162.00;      35.5204;       8.0073
1164.00;      35.5202;       8.0068
1166.00;      35.5203;       7.9966
1168.00;      35.5193;       7.9763
1170.00;      35.5184;       7.9648
1172.00;      35.5184;       7.9600
1174.00;      35.5180;       7.9527
1176.00;      35.5178;       7.9502
1178.00;      35.5177;       7.9467
1180.00;      35.5174;       7.9417
1182.00;      35.5156;       7.9259
1184.00;      35.5122;       7.8798
1186.00;      35.5122;       7.8700
1188.00;      35.5080;       7.8334
1190.00;      35.5065;       7.8208
1192.00;      35.5048;       7.7924
1194.00;      35.5028;       7.7675
1196.00;      35.4960;       7.7128
1198.00;      35.4922;       7.6703
1200.00;      35.4864;       7.6262
1202.00;      35.4858;       7.6128
1204.00;      35.4841;       7.5982
1206.00;      35.4839;       7.5889
1208.00;      35.4824;       7.5751
1210.00;      35.4817;       7.5685
1212.00;      35.4809;       7.5617
1214.00;      35.4806;       7.5573
1216.00;      35.4800;       7.5533
1218.00;      35.4788;       7.5457
1220.00;      35.4786;       7.5424
1222.00;      35.4782;       7.5395
1224.00;      35.4778;       7.5372
1226.00;      35.4777;       7.5358
1228.00;      35.4770;       7.5339
1230.00;      35.4759;       7.5268
1232.00;      35.4742;       7.5138
1234.00;      35.4725;       7.5026
1236.00;      35.4706;       7.4913
1238.00;      35.4692;       7.4762
